"Mahonia microphylla","Mahonia napaulensis","Mahonia bealei","Mahonia longibracteata","Mahonia decipiens","Mahonia japonica","Mahonia shenii","Mahonia cardiophylla","Mahonia bodinieri","Mahonia oiwakensis","Mahonia nitens","Mahonia bracteolata","Mahonia breviracema","Mahonia imbricata","Mahonia subimbricata","Mahonia sheridaniana","Mahonia philippinensis","Mahonia monyulensis","Mahonia polyodonta","Mahonia calamicaulis subsp. kingdon-wardiana","Mahonia gracilipes","Mahonia leptodonta","Mahonia duclouxiana","Mahonia taronensis","Mahonia paucijuga","Mahonia fordii","Mahonia hancockiana","Mahonia fortunei","Mahonia eurybracteata subsp. ganpinensis","Mahonia setosa","Mahonia nervosa","Mahonia retinervis","Mahonia conferta","Mahonia chochoco","Mahonia dictyota","Mahonia alpina","Mahonia volcania","Mahonia repens","Mahonia pumila","Mahonia gracilis","Mahonia lanceolata","Mahonia pallida","Mahonia hartwegii","Mahonia aquifolium","Mahonia pinnata","Mahonia moranensis"
0,1.2,5.8,0.9,0.6,1.6,0.4,1.1,1.9,1.5,1.5,1.5,1.4,1.5,2,2,1.7,2.7,1.7,1.8,0.8,0.2,0.4,0.9,0.9,0.8,0.8,0.8,0.5,0.5,1,0.9,1,0,2.9,1.65,0.9,1,3.3,1.5,1.3,0.1,0.1,1.5,3.3,3.6
0,1.4,6.3,1.1,0.8,5.7,0.5,1.5,2.5,2.5,2.3,2.2,1.9,2.7,2.7,2.9,2.5,2.7,1.5,2.5,1.2,0.9,0.9,1,1.1,1.1,1.1,0.9,0.8,0.8,1.5,1,2.5,0,2.5,2.85,0.9,1.2,3.3,3,0.8,0.7,0.5,3.4,5.7,2.6
0,1.4,6.5,1.1,0.8,5.9,0.6,1.5,2.3,2.4,2.2,2.3,2.2,2.7,2.7,2.9,2.5,2.8,1.6,2.6,1.3,0.9,0.9,1,1.1,1.1,1.2,0.9,0.8,0.8,1.5,1,2.5,0,2.5,2.89,1,1.2,3.4,3.1,0.8,0.8,0.5,3.5,5.8,2.7
0,2.2,9.3,2.1,1.1,8.7,1,1.9,2.9,2.9,2.8,2.8,2.7,3,3,3.4,3.1,3.8,2.7,3.7,2,0.7,0.7,1.6,1.4,1.1,1.6,1.6,1.1,1.1,2.7,1.2,3.7,0,3.7,3.36,1,1.8,4.7,4,1.3,1,1,4.6,7.3,3.4
0,2.5,8,2,0.7,5.2,0.5,1.4,2.1,2.2,2.1,2.1,2.1,2.7,2.7,2.4,2.4,2.5,3.3,3.3,2.3,0.8,0.8,1,1,1,1.4,0.8,0.7,0.7,1.3,1,2.3,0,2.3,2.77,0.9,1.1,3,2.9,0.7,0.7,0.4,3.3,5.4,2.5
0,2,8.6,1.8,1,8,0.9,1.8,2.9,3,2.7,2.8,2.5,2.9,2.9,3.3,2.9,3.6,2.4,3.4,1.8,1.1,1.1,1.2,1.3,1.3,2.2,1.4,1,1,2.4,1.1,3.4,0,3.4,3.24,1,1.6,4.4,3.8,1.2,1,0.9,4.3,6.9,3.2
0,2.4,7.6,1.8,0.9,7.1,0.9,1,2,2,2,2,2,2,2,2.2,2,1.9,3.1,3.1,2.1,0.8,0.9,1.3,1.3,1.3,1.3,0.4,0.3,0.5,1,0.8,1.8,0,3.8,1.96,0.8,0.8,3.5,2.6,1.5,0.2,0.1,3.2,4.4,3.1
0,2.5,10.6,2.5,1.3,10,1.3,2.1,2.7,2.3,2.3,3,3,3.1,3.1,2.8,2.3,3.3,3.3,2.6,2.3,0.9,0.9,1.8,1.8,1.3,1.9,1.4,1.3,1.3,3.2,1.3,4.2,0,4.2,3.57,1.1,2.3,4.3,3.3,2.3,0.4,0.4,5.1,8,3.7
0,2.8,8.9,2.3,1.4,8.1,1.4,1.7,2.5,2.5,2.4,2.4,2.2,2.6,2.6,3.2,2.5,2.1,3.8,3.8,2.7,1,1.3,1.7,1.6,1.5,1.8,1.1,0.8,0.7,2,1,2.4,0,4.4,2.49,1,1,4,3.3,2,0.3,0.3,3.7,5.4,3.3
0,2.6,8.1,2,0.7,5.3,0.5,1.4,2.2,2.2,2.1,2.2,2.1,2.7,2.7,2.5,2.4,2.6,3.3,3.3,2.3,0.8,0.8,1,1,1,1.5,0.8,0.7,0.7,1.3,1,2.3,0,2.3,2.15,0.9,1.1,3.1,2.9,0.8,0.7,0.5,3.3,5.5,2.6
