scientificName,decimalLongitude,decimalLatitude
Mahonia fortunei (Lindl.) Fedde,121.354042,30.72161
Mahonia bealei (Fort.) Carr.,121.340011,30.710229
Mahonia bealei (Fort.) Carr.,111.255757,30.680303
Mahonia fortunei (Lindl.) Fedde,107.73894,30.641633
Mahonia fortunei (Lindl.) Fedde,104.087118,30.641405
Mahonia conferta Takeda,103.881234,30.611333
Mahonia fortunei (Lindl.) Fedde,103.881234,30.611333
Mahonia bealei (Fort.) Carr.,103.881234,30.611333
Mahonia fortunei (Lindl.) Fedde,114.267928,30.581208
Mahonia bealei (Fortune) Carrière,114.267928,30.581208
Mahonia fortunei (Lindl.) Fedde,123.0166667,30.5
Mahonia bealei (Fortune) Carrière,123.0166667,30.5
Mahonia bealei (Fort.) Carr.,111.200862,30.454491
Mahonia fortunei (Lindl.) Fedde,104.582812,30.429658
Mahonia fortunei (Oliv.) Fedde,103.469135,30.41235
Mahonia bealei (Fort.) Carr.,103.469135,30.41235
Mahonia bealei (Fort.) Carr.,112.879022,30.394453
Mahonia bealei (Fort.) Carr.,108.082886,30.391233
Mahonia fortunei Hort. ex Dippel,102.781817,30.366355
Mahonia bealei (Fortune) Carrière,102.781817,30.366355
Mahonia bealei (Fort.) Carr.,117.10298,30.344191
Mahonia fortunei (Lindl.) Fedde,108.037018,30.313955
Mahonia eurybracteata Fedde,109.502067,30.303635
Mahonia bealei (Fort.) Carr.,109.502067,30.303635
Mahonia fortunei (Lindl.) Fedde,120.172973,30.2739768
Mahonia fortunei (Lindl.) Fedde.,120.014586,30.267554
Mahonia eurybracteata Fedde,108.052847,30.258422
Mahonia bealei (Fortune) Carrière,108.052847,30.258422
Mahonia fortunei (Lindl.) Fedde,108.933278,30.25304
Mahonia gracilipes (Oliv.) Fedde,108.933278,30.25304
Mahonia bealei (Fort.) Carr.,108.933278,30.25304
Mahonia bealei (Fort.) Carr.,120.187914,30.242849
Mahonia fortunei (Lindl.) Fedde,103.843335,30.204098
Mahonia fortunei (Lindl.) Fedde,102.914982,30.16761
Mahonia bealei (Fort.) Carr.,102.914982,30.16761
Mahonia gracilipes (Oliv.) Fedde,110.992787,30.144925
Mahonia fortunei (Lindl.) Fedde,102.9283762,30.1441252
Mahonia bealei (Fort.) Carr.,107.516389,30.143333
Mahonia bealei (Fort.) Carr.,117.456176,30.135856
Mahonia fortunei Hort. ex Dippel,103.865766,30.093277
Mahonia fortunei (Lindl.) Fedde,102.756484,30.086724
Mahonia fortunei (Lindl.) Fedde,102.763383,30.085724
Mahonia fortunei (Lindl.) Fedde,102.7583134,30.0667077
Mahonia fortunei (Lindl.) Fedde,103.829037,30.064806
Mahonia bealei (Fortune) Carrière,109.50964,30.033884
Mahonia bealei (Fort.) Carr.,108.1850123,30.0234014
Mahonia gracilipes (Oliv.) Fedde,108.125009,30.020369
Mahonia fortunei (Lindl.) Fedde,103.034016,30.019544
Mahonia bealei (Fort.) Carr.,107.7954698,30.0064099
Mahonia fortunei (Lindl.) Fedde,106.567143,29.981876
Mahonia fortunei Hort. ex Dippel,121.616265,29.966684
Mahonia fortunei (Lindl.) Fedde,103.356606,29.945921
Mahonia gracilipes (Oliv.) Fedde,103.356606,29.945921
Mahonia conferta Takeda,95.776777,29.884853
Mahonia calamicaulis Spare & C.E.C.Fischer subsp. kingdon-wardiana (Ahrendt) Ying et Boufford.,95.776777,29.884853
Mahonia fortunei (Lindl.) Fedde,110.067443,29.878831
Mahonia gracilipes (Oliv.) Fedde,110.067443,29.878831
Mahonia bealei (Fortune) Carrière,110.067443,29.878831
Mahonia fortunei Hort. ex Dippel,107.733457,29.849617
Mahonia bealei (Fortune) Carrière,107.733457,29.849617
Mahonia fortunei (Lindl.) Fedde,103.835632,29.835351
Mahonia eurybracteata Fedde,106.370611,29.819667
Mahonia bealei (Fortune) Carrière,118.135528,29.818171
Mahonia fortunei (Lindl.) Fedde,102.852289,29.813986
Mahonia eurybracteata Fedde,106.388486,29.812911
Mahonia gracilipes (Oliv.) Fedde,106.388486,29.812911
Mahonia bealei (Fort.) Carr.,106.388486,29.812911
Mahonia fortunei (Lindl.) Fedde,103.5173249,29.7773315
Mahonia fortunei (Lindl.) Fedde,104.838945,29.772492
Mahonia fortunei (Lindl.) Fedde,106.410067,29.738914
Mahonia polyodonta Fedde,103.2318842,29.7379703
Mahonia gracilipes Fedde,103.2318842,29.7379703
Mahonia bealei (Fort.) Carr.,103.2318842,29.7379703
Mahonia fortunei (Lindl.) Fedde,106.409225,29.729931
Mahonia bealei (Fort.) Carr.,107.520745,29.71777
Mahonia fortunei (Lindl.) Fedde.,107.597222,29.711944
Mahonia bealei (Fort.) Carr.,114.569885,29.711306
Mahonia decipiens Schneid.,114.569885,29.711306
Mahonia fortunei (Lindl.) Fedde,109.114413,29.707474
Mahonia eurybracteata Fedde,109.114413,29.707474
Mahonia bealei (Fort.) Carr.,109.114413,29.707474
Mahonia bealei (Fortune) Carrière,118.42305,29.673951
Mahonia fortunei,115.960659,29.652349
Mahonia bealei (Fortune) Carrière,115.960659,29.652349
Mahonia calamicaulis Spare & C.E.C.Fischer subsp. kingdon-wardiana (Ahrendt) Ying et Boufford.,94.331897,29.631851
Mahonia bealei (Fortune) Carrière,119.05702,29.614196
Mahonia eurybracteata Fedde,107.032967,29.611983
Mahonia gracilipes Fedde,107.032967,29.611983
Mahonia cardiophylla Ying et Boufford,107.032967,29.611983
Mahonia bealei (Fortune) Carrière,107.032967,29.611983
Mahonia fortunei (Lindl.) Fedde,103.3652778,29.61111111
Mahonia bealei (Fort.) Carr.,114.04196,29.60078
Mahonia fortunei (Lindl.) Fedde,111.740816,29.595993
Mahonia eurybracteata Fedde,110.4894,29.5783
Mahonia fortunei Hort. ex Dippel,103.730571,29.573773
Mahonia bealei (Fortune) Carrière,103.730571,29.573773
Mahonia fortunei (Lindl.) Fedde,103.42371,29.567025
Mahonia gracilipes (Leveil) Fedde,103.42371,29.567025
Mahonia bealei (Fort.) Carr.,103.42371,29.567025
Mahonia eurybracteata Fedde,111.401975,29.562974
Mahonia gracilipes (Oliv.) Fedde,111.401975,29.562974
Mahonia bealei Carr.,111.401975,29.562974
Mahonia gracilipes (Oliv.) Fedde,108.770694,29.557162
Mahonia fortunei (Lindl.) Fedde,104.670478,29.546454
Mahonia bealei (Fortune) Carrière,117.373176,29.5347722
Mahonia fortunei (Lindl.) Fedde,115.989126,29.534034
Mahonia bealei (Fort.) Carr.,115.989126,29.534034
Mahonia bealei (Fort.) Carr.,109.6291306,29.50630278
Mahonia fortunei (Lindl.) Fedde,103.701135,29.501484
Mahonia gracilipes (Oliv.) Fedde,106.664401,29.498912
Mahonia fortunei (Lindl.) Fedde,103.3985889,29.4961191
Mahonia taronensis H. -M.,103.3985889,29.4961191
Mahonia eurybracteata Fedde,103.3985889,29.4961191
Mahonia gracilipes Fedde,103.3985889,29.4961191
Mahonia decipiens Schneid.,103.3985889,29.4961191
Mahonia fortunei (Lindl.) Fedde,106.571839,29.465207
Mahonia eurybracteata Fedde,109.403847,29.43015
Mahonia bealei (Fortune) Carrière,109.403847,29.43015
Mahonia fortunei (Lindl.) Fedde,110.105451,29.403154
Mahonia polyodonta Fedde,110.105451,29.403154
Mahonia eurybracteata Fedde,110.105451,29.403154
Mahonia bealei (Fortune) Carrière,110.105451,29.403154
Mahonia eurybracteata Fedde,107.762975,29.372575
Mahonia taronensis Hand.-Mazz.,95.322826,29.351341
Mahonia calamicaulis Spare & C.E.C.Fischer subsp. kingdon-wardiana (Ahrendt) Ying et Boufford.,95.322826,29.351341
Mahonia bealei (Fortune) Carrière,112.339302,29.34365
Mahonia conferta Takeda,114.963104,29.3264881
Mahonia bealei (Fort.) Carr.,114.963104,29.3264881
Mahonia bealei (Fort.) Carr.,115.101116,29.323084
Mahonia eurybracteata Fedde,108.170275,29.316343
Mahonia bealei (Fort.) Carr.,108.170275,29.316343
Mahonia eurybracteata Fedde,103.249035,29.278692
Mahonia bealei (Fort.) Carr.,103.249035,29.278692
Mahonia bealei (Fort.) Carr.,108.329445,29.271111
Mahonia fortunei (Lindl.) Fedde,116.1902806,29.25681944
Mahonia bealei (Fortune) Carrière,117.862004,29.2479884
Mahonia eurybracteata Fedde,110.3894,29.2203
Mahonia bealei (Fortune) Carrière,119.460853,29.204208
Mahonia eurybracteata Fedde,109.3180806,29.18074722
Mahonia fortunei (Lindl.) Fedde,105.402111,29.163632
Mahonia bealei (Fortune) Carrière,103.1486392,29.1603689
Mahonia fortunei Hort. ex Dippel,103.6833,29.15
Mahonia bealei (Fortune) Carrière,118.439281,29.14445
Mahonia fortunei (Lindl.) Fedde,110.504459,29.131253
Mahonia eurybracteata Fedde,110.504459,29.131253
Mahonia fortunei (Lindl.) Fedde,110.461386,29.118526
Mahonia eurybracteata Fedde,110.461386,29.118526
Mahonia fortunei (Lindl.) Fedde,107.187799,29.116283
Mahonia eurybracteata Fedde,107.187799,29.116283
Mahonia cardiophylla T.S.Ying & Boufford,107.187799,29.116283
Mahonia bealei (Fort.) Carr.,107.187799,29.116283
Mahonia decipiens Schneid.,107.187799,29.116283
Mahonia bealei (Fort.) Carr.,113.8630556,29.05555556
Mahonia fortunei (Lindl.) Fedde,114.412629,29.0101014
Mahonia bealei (Fort.) Carr.,114.412629,29.0101014
Mahonia eurybracteata Fedde,109.9272,29.0092
Mahonia fortunei (Lindl.) Fedde,103.871102,28.971231
Mahonia bealei (Fort.) Carr.,102.764228,28.958502
Mahonia bealei (Fort.) Carr.,118.0831472,28.92886111
Mahonia longibracteata Takeda.,102.2258,28.9072
Mahonia bealei (Fort. ) Carr.,113.7991667,28.89027778
Mahonia eurybracteata Fedde,109.8861,28.8881
Mahonia fortunei Hort. ex Dippel,105.461174,28.875897
Mahonia bealei (Fort.) Carr.,120.734857,28.86512
Mahonia fortunei Hort. ex Dippel,108.745837,28.855897
Mahonia bealei (Fortune) Carrière,108.766658,28.853647
Mahonia fortunei (Lindl.) Fedde,104.978812,28.845683
Mahonia gracilipes (Oliv.) Fedde,104.348076,28.822377
Mahonia fortunei (Lindl. ) Fedde,114.7730556,28.81388889
Mahonia fortunei (Lindl.) Fedde,105.386059,28.76507
Mahonia fortunei (Lindl.) Fedde,109.2383,28.7531
Mahonia bealei (Fortune) Carrière,109.2383,28.7531
Mahonia eurybracteata Fedde,110.2428,28.7444
Mahonia fortunei (Lindl.) Fedde.,107.58383,28.733691
Mahonia fortunei (Lindl.) Fedde.,107.583829,28.73369
Mahonia eurybracteata Fedde,107.583828,28.733689
Mahonia eurybracteata Fedde,107.583827,28.733688
