scientificName,decimalLatitude,decimalLongitude
Berberis gracilis Hartw. ex Benth.,20.662778,-99.1025
Berberis gracilis Hartw. ex Benth.,20.736667,-98.715833
Berberis gracilis Hartw. ex Benth.,20.851667,-98.736389
Mahonia gracilis (Hartw. ex Benth.) Fedde,20.916667,-99.2
Berberis gracilis var. madrensis Marroq.,20.95,-99.5
Berberis gracilis Hartw. ex Benth.,20.991389,-99.211944
Berberis gracilis Hartw. ex Benth.,21.007778,-99.199444
Berberis gracilis Hartw. ex Benth.,21.025556,-99.143333
Berberis gracilis var. madrensis Marroq.,21.1,-99.566667
Berberis gracilis var. madrensis Marroq.,21.16025,-99.567586
Berberis gracilis Hartw. ex Benth.,21.163392,-99.57455
Berberis gracilis Hartw. ex Benth.,21.166667,-99.316667
Berberis gracilis Hartw. ex Benth.,21.169482,-99.736697
Berberis gracilis var. madrensis Marroq.,21.181667,-99.32
Berberis gracilis Hartw. ex Benth.,21.183333,-99.65
Berberis gracilis Hartw. ex Benth.,21.186611,-99.718028
Berberis gracilis Hartw. ex Benth.,21.208611,-99.114722
Berberis gracilis Hartw. ex Benth.,21.208611,-99.732222
Berberis gracilis Hartw. ex Benth.,21.216111,-99.109444
Berberis gracilis Hartw. ex Benth.,21.21665,-99.127808
Berberis gracilis var. madrensis Marroq.,21.217034,-99.1231827
Berberis gracilis Hartw. ex Benth.,21.22,-99.105
Berberis gracilis Hartw. ex Benth.,21.229146,-99.868107
Berberis gracilis Hartw. ex Benth.,21.23093,-99.16857
Berberis gracilis Hartw. ex Benth.,21.25,-99.167
Mahonia gracilis (Hartw. ex Benth.) Fedde,21.25,-99.16666
Mahonia gracilis (Hartw. ex Benth.) Fedde,21.25053436,-99.16677786
Berberis gracilis var. madrensis Marroq.,21.256075,-99.106045
Berberis gracilis Hartw. ex Benth.,21.263139,-99.179028
Berberis gracilis Hartw. ex Benth.,21.279508,-99.207339
Berberis gracilis Hartw. ex Benth.,21.28465,-99.195601
Berberis gracilis Hartw. ex Benth.,21.316667,-99.166667
Berberis gracilis var. madrensis Marroq.,21.321667,-99.173333
Berberis gracilis Hartw. ex Benth.,21.34114,-99.16609
Berberis gracilis Hartw. ex Benth.,21.383889,-99.101667
